Date,Round,isHome,Rival,Goal,Conceded,Points,CumPoints,bCumPoints,b5MatchPoints,b5MatchPointRatio,bCumGoal,b5MatchGoal,bCumConceded,b5MatchConceded,b5HomeMatchPoints,b5HomeMatchPointRatio,bHomeCumGoal,bHomeCumConceded,b5HomeMatchGoal,b5HomeMatchConceded,b5AwayMatchPoints,b5AwayMatchPointRatio,bAwayCumGoal,bAwayCumConceded,b5AwayMatchGoal,b5AwayMatchConceded,SelfAS,SelfDS,SelfFromCL,RivalAS,RivalDS,RivalFromCL,bStdCumPoints,bRivalCumPoints,bRival5MatchPoints,bRival5MatchPointRatio,bRivalCumGoal,bRival5MatchGoal,bRivalCumConceded,bRival5MatchConceded,bRival5HomeMatchPoints,bRival5HomeMatchPointRatio,bRivalHomeCumGoal,bRivalHomeCumConceded,bRival5HomeMatchGoal,bRival5HomeMatchConceded,bRival5AwayMatchPoints,bRival5AwayMatchPointRatio,bRivalAwayCumGoal,bRivalAwayCumConceded,bRival5AwayMatchGoal,bRival5AwayMatchConceded,bRivalStdCumPoints
2018-08-12,1,False,Wolves,2,2,1,1,0,0.0,,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.7339449541284403,1.2371134020618555,False,1.2066752246469834,0.5714285714285714,True,,0,0.0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
2018-08-18,2,True,Southampton,2,1,3,4,1,1.0,0.3333333333333333,2,2.0,2,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.9621993127147764,1.0091743119266054,False,0.7798165137614679,1.0309278350515465,False,-0.2874172848876244,1,1.0,0.3333333333333333,0,0.0,0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,-0.2874172848876244
2018-08-25,3,False,Bournemouth,2,2,1,5,4,4.0,0.6666666666666666,4,4.0,3,3.0,,,,,,,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,0.7339449541284403,1.2371134020618555,False,0.8934707903780068,1.3761467889908257,False,0.4767550120076829,6,6.0,1.0,4,4.0,1,1.0,3.0,1.0,2.0,0.0,2.0,0.0,,,,,,,1.3058941633253924
2018-09-01,4,True,Huddersfield,1,1,1,6,5,5.0,0.5555555555555556,6,6.0,5,5.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,0.9621993127147764,1.0091743119266054,False,0.5504587155963302,1.134020618556701,False,0.2548671515854189,1,1.0,0.1111111111111111,1,1.0,9,9.0,,,,,,,0.0,0.0,1.0,6.0,1.0,6.0,-1.0194686063416762
2018-09-16,5,True,West Ham,1,3,0,6,6,6.0,0.5,7,7.0,6,6.0,4.0,0.6666666666666666,3.0,2.0,3.0,2.0,,,,,,,0.9621993127147764,1.0091743119266054,False,1.1009174311926604,1.443298969072165,False,0.1059528057476076,0,0.0,0.0,2,2.0,10,10.0,,,,,,,0.0,0.0,1.0,7.0,1.0,7.0,-1.483339280466505
2018-09-23,6,False,Arsenal,0,2,0,6,6,6.0,0.4,8,8.0,9,9.0,,,,,,,2.0,0.3333333333333333,4.0,4.0,4.0,4.0,0.7339449541284403,1.2371134020618555,False,1.855670103092784,0.9174311926605504,False,-0.2382771199799706,9,9.0,0.6,10,10.0,9,9.0,3.0,0.5,3.0,3.0,3.0,3.0,,,,,,,0.4425146513913741
2018-09-29,7,True,Fulham,3,0,3,9,6,5.0,0.3333333333333333,8,6.0,11,9.0,4.0,0.4444444444444444,4.0,5.0,4.0,5.0,,,,,,,0.9621993127147764,1.0091743119266054,False,1.238095238095238,0.7445442875481387,True,-0.475256899638918,5,5.0,0.3333333333333333,8,8.0,13,11.0,,,,,,,1.0,0.1111111111111111,3.0,8.0,3.0,8.0,-0.6774938782086705
2018-10-06,8,False,Leicester,2,1,3,12,9,5.0,0.3333333333333333,11,7.0,11,8.0,,,,,,,2.0,0.2222222222222222,4.0,6.0,4.0,6.0,0.7339449541284403,1.2371134020618555,False,0.859106529209622,1.0091743119266054,False,-0.1446451861253464,12,9.0,0.6,13,10.0,10,8.0,6.0,0.6666666666666666,6.0,3.0,6.0,3.0,,,,,,,0.3977742618447021
2018-10-21,9,True,Crystal Palace,2,0,3,15,12,7.0,0.4666666666666667,13,7.0,12,7.0,7.0,0.5833333333333334,7.0,5.0,7.0,5.0,,,,,,,0.9621993127147764,1.0091743119266054,False,0.7339449541284403,0.9621993127147764,False,0.1282583971918271,7,4.0,0.2666666666666666,5,2.0,9,5.0,,,,,,,6.0,0.5,5.0,4.0,5.0,4.0,-0.6733565852570915
2018-10-29,10,False,Man Utd,1,2,0,15,15,9.0,0.6,15,8.0,12,6.0,,,,,,,5.0,0.4166666666666667,6.0,7.0,6.0,7.0,0.7339449541284403,1.2371134020618555,False,1.3058419243986257,0.4128440366972477,False,0.3443770879045267,14,8.0,0.5333333333333333,15,9.0,16,9.0,7.0,0.5833333333333334,6.0,7.0,6.0,7.0,,,,,,,0.2008866346109739
2018-11-03,11,True,Brighton,3,1,3,18,15,9.0,0.6,16,8.0,14,5.0,10.0,0.6666666666666666,9.0,5.0,9.0,5.0,,,,,,,0.9621993127147764,1.0091743119266054,False,0.4587155963302752,0.9965635738831616,False,0.1358556594687939,14,9.0,0.6,11,4.0,13,4.0,,,,,,,4.0,0.3333333333333333,3.0,7.0,3.0,7.0,0.0064693171175617
2018-11-11,12,False,Chelsea,0,0,1,19,18,12.0,0.8,19,11.0,15,4.0,,,,,,,5.0,0.4166666666666667,7.0,9.0,7.0,9.0,0.7339449541284403,1.2371134020618555,False,1.0309278350515465,0.7339449541284403,False,0.3214767181845802,27,11.0,0.7333333333333333,27,13.0,8,4.0,11.0,0.7333333333333333,15.0,7.0,12.0,5.0,,,,,,,1.4342807426696658
2018-11-24,13,True,Cardiff,1,0,3,22,19,10.0,0.6666666666666666,19,8.0,15,4.0,10.0,0.6666666666666666,12.0,6.0,10.0,5.0,,,,,,,0.9621993127147764,1.0091743119266054,False,0.9206349206349208,0.5905006418485238,True,0.2795628300823473,8,6.0,0.4,11,7.0,25,9.0,,,,,,,1.0,0.0833333333333333,2.0,11.0,2.0,11.0,-1.0290291405158731
2018-12-03,14,False,Liverpool,0,1,0,22,22,10.0,0.6666666666666666,20,7.0,15,3.0,,,,,,,5.0,0.4166666666666667,7.0,9.0,5.0,7.0,0.7339449541284403,1.2371134020618555,False,1.5463917525773194,0.4587155963302752,False,0.4471061481923966,33,13.0,0.8666666666666667,26,11.0,5,2.0,13.0,0.8666666666666667,14.0,1.0,10.0,1.0,,,,,,,1.6922118773357795
2018-12-06,15,True,Newcastle,1,1,1,23,22,7.0,0.4666666666666667,20,5.0,16,4.0,12.0,0.8,13.0,6.0,10.0,4.0,,,,,,,0.9621993127147764,1.0091743119266054,False,0.8256880733944953,1.0309278350515465,False,0.2686790833839216,12,10.0,0.6666666666666666,11,5.0,19,5.0,,,,,,,5.0,0.4166666666666667,5.0,6.0,5.0,6.0,-0.806037250151765
2018-12-11,16,True,Watford,2,2,1,24,23,8.0,0.5333333333333333,21,5.0,17,3.0,13.0,0.8666666666666667,14.0,7.0,10.0,2.0,,,,,,,0.9621993127147764,1.0091743119266054,False,0.7798165137614679,1.134020618556701,False,0.2154227568036849,20,1.0,0.0666666666666666,18,2.0,21,9.0,,,,,,,4.0,0.3333333333333333,7.0,8.0,3.0,6.0,-0.0851671364107593
2018-12-15,17,False,Man City,1,3,0,24,24,6.0,0.4,23,4.0,19,4.0,,,,,,,4.0,0.3333333333333333,7.0,10.0,3.0,6.0,0.7339449541284403,1.2371134020618555,False,2.0962199312714778,0.6422018348623852,False,0.1619260210426589,41,12.0,0.8,45,12.0,9,5.0,15.0,1.0,30.0,5.0,19.0,3.0,,,,,,,1.7811862314692493
2018-12-24,18,True,Spurs,2,6,0,24,24,5.0,0.3333333333333333,24,5.0,22,7.0,11.0,0.7333333333333333,16.0,9.0,9.0,4.0,,,,,,,0.9621993127147764,1.0091743119266054,False,1.5596330275229358,0.6872852233676975,False,0.0181494794994962,39,12.0,0.8,31,11.0,16,6.0,,,,,,,12.0,1.0,19.0,10.0,9.0,6.0,1.379360441961716
2018-12-26,19,False,Burnley,5,1,3,27,24,2.0,0.1333333333333333,26,6.0,28,13.0,,,,,,,4.0,0.3333333333333333,8.0,13.0,4.0,7.0,0.7339449541284403,1.2371134020618555,False,0.549828178694158,0.7798165137614679,False,-0.1099051291907671,12,3.0,0.2,16,3.0,36,9.0,4.0,0.2666666666666666,9.0,15.0,4.0,10.0,,,,,,,-1.164994369422132
2018-12-29,20,False,Brighton,0,1,0,27,27,5.0,0.3333333333333333,31,11.0,29,13.0,,,,,,,4.0,0.3333333333333333,13.0,14.0,7.0,7.0,0.7339449541284403,1.2371134020618555,False,0.8247422680412371,1.146788990825688,False,0.0332435415111415,22,4.0,0.2666666666666666,21,5.0,27,7.0,8.0,0.5333333333333333,14.0,11.0,7.0,5.0,,,,,,,-0.3823007273781287
2019-01-01,21,True,Leicester,0,1,0,27,27,4.0,0.2666666666666666,31,10.0,30,13.0,8.0,0.5333333333333333,18.0,15.0,9.0,10.0,,,,,,,0.9621993127147764,1.0091743119266054,False,1.4220183486238531,1.3058419243986257,False,-0.085657786244125,28,6.0,0.4,24,3.0,23,5.0,,,,,,,8.0,0.6666666666666666,12.0,13.0,4.0,3.0,-0.0040789422021012
2019-01-13,22,True,Bournemouth,2,0,3,30,27,3.0,0.2,31,8.0,31,12.0,5.0,0.3333333333333333,18.0,16.0,6.0,10.0,,,,,,,0.9621993127147764,1.0091743119266054,False,0.8715596330275229,1.0652920962199313,False,-0.1890291245431726,27,4.0,0.2666666666666666,31,6.0,40,14.0,,,,,,,0.0,0.0,12.0,23.0,3.0,16.0,-0.1890291245431726
2019-01-19,23,False,Southampton,1,2,0,30,30,6.0,0.4,33,9.0,31,9.0,,,,,,,4.0,0.3333333333333333,13.0,15.0,6.0,6.0,0.7339449541284403,1.2371134020618555,False,0.6872852233676975,1.1926605504587156,False,-0.0647075297277763,19,7.0,0.4666666666666667,23,7.0,39,7.0,5.0,0.3333333333333333,11.0,17.0,8.0,10.0,,,,,,,-0.902099090910763
